Float representation
Function: 3 | Xmin: [-1.2009930311548067, 2.6209739678697126, 0.384291715230594, 1.7262611222295576, -1.547442115229094]                               | F(X)= 60.110796 | f_count = 10000
Function: 3 | Xmin: [6.442777781436634, 2.534988404267917, -2.564156924591611, 3.2649811324304787, 6.695818094327735]                                  | F(X)= 64.285937 | f_count = 10000
Function: 3 | Xmin: [-8.577647274400903, -4.049216592534897, 2.1368260131702037, 6.795024679006077, 10.455041762045512]                                | F(X)=166.639062 | f_count = 10000
Function: 3 | Xmin: [6.479809993033021, 7.801104164813976, 7.393461116587091, 9.078949379885556, 2.4807988877911615]                                   | F(X)=115.125729 | f_count = 10000
Function: 3 | Xmin: [1.8499567486643045, 5.768293134081937, 9.98417232140886, 1.5064132636610097, 4.915030751659144]                                   | F(X)= 69.926317 | f_count = 10000
Function: 3 | Xmin: [-3.7714979181207777, 0.998230165422421, 6.5772717857725915, 7.6919750942838085, 5.567482787862222]                                | F(X)= 50.520325 | f_count = 10000
Function: 3 | Xmin: [-5.342149025120769, 1.6075107550225454, 12.16287222139661, 6.9629805316834705, 13.035566919078228]                                | F(X)=197.684719 | f_count = 10000
Function: 3 | Xmin: [-2.637720478173486, 11.664306374840582, 4.860546357280857, 3.2243265562846855, 7.00023717000963]                                  | F(X)=114.696079 | f_count = 10000
Function: 3 | Xmin: [10.169899508206328, -0.8330449972193232, -4.850967834232021, 2.5131909238393524, 3.525865911216739]                               | F(X)=158.134569 | f_count = 10000
Function: 3 | Xmin: [6.271769327758193, -6.721095005628122, 4.206311886562901, -2.943876293875508, 13.007399717043873]                                 | F(X)=217.640107 | f_count = 10000
Function: 3 | Xmin: [2.5963124108493023, 0.3796441387909182, -1.7382722348903883, 4.528550931114344, 12.019713549428888]                               | F(X)= 77.180735 | f_count = 10000
Binary representation
Function: 3 | Xmin: [-0.05016346040138586, 1.9487455320187834, 2.6956661059040243, -0.06999996185288637, -0.0020980914996826527]                       | F(X)= 42.783974 | f_count = 10000
Function: 3 | Xmin: [0.6410623209469577, 2.059372174729056, 2.825366307702282, 3.8271096310029264, 4.671686827418618]                                  | F(X)=  0.300539 | f_count = 10000
Function: 3 | Xmin: [1.0454217736121123, 2.0364839038234805, 3.048908420213394, 3.9102703486265113, 5.016536775729271]                                 | F(X)=  0.014111 | f_count = 10000
Function: 3 | Xmin: [1.1583372434129444, -0.0196457658606235, 3.14351327328977, 4.2154472940341705, 4.43822646418176]                                  | F(X)=  4.486643 | f_count = 10000
Function: 3 | Xmin: [0.9904899234387301, -0.10814708002884288, -0.14858302529535905, -0.0020980914996826527, 4.870051841933595]                        | F(X)= 30.391625 | f_count = 10000
Function: 3 | Xmin: [-0.14019065929664976, 2.0364839038234805, -0.031852843676929865, 3.98122398843379, 4.860133591207848]                             | F(X)= 10.513413 | f_count = 10000
Function: 3 | Xmin: [1.1041683356030845, 2.070816310181847, -0.007438688044317132, 3.869834403359995, 4.8647112453889605]                              | F(X)=  9.095800 | f_count = 10000
Function: 3 | Xmin: [-0.15697539129406834, -0.03566755549451983, 3.3044941119923052, -0.018882823497101242, 5.5208416780154295]                        | F(X)= 21.997946 | f_count = 10000
Function: 3 | Xmin: [-0.05016346040138586, 1.954849070926933, -0.0036239762267200604, 4.164330155678385, 4.539697798529808]                            | F(X)= 10.365521 | f_count = 10000
Function: 3 | Xmin: [1.181988456682035, -0.034141670767482424, -0.0013351491361603962, 4.1719595793135795, 4.7884170090370475]                         | F(X)= 13.253202 | f_count = 10000
Function: 3 | Xmin: [1.504713076450635, -0.037956382585079496, 2.6704890079078965, 4.664820346146946, -0.05168934512842327]                            | F(X)= 30.478130 | f_count = 10000
Function: 3 | Xmin: [-0.0043869185902352115, 1.9525602438363734, -0.0196457658606235, 3.923240368806333, 4.545801337437958]                            | F(X)= 10.341493 | f_count = 10000
Function: 3 | Xmin: [0.7646589838370659, 1.9601896674715675, 3.2518510889094827, 3.9072185791724365, 4.648798556513043]                                | F(X)=  0.252350 | f_count = 10000
Function: 3 | Xmin: [-0.04558580622027364, 2.095993408177975, 3.24956226181893, 4.1574636744067135, 5.062313317540422]                                 | F(X)=  1.193423 | f_count = 10000
Function: 3 | Xmin: [1.0286370416146866, 1.8343041774909068, 3.248799319455408, 3.7592077606497156, 4.7884170090370475]                                | F(X)=  0.192925 | f_count = 10000
Function: 3 | Xmin: [0.7478742518396402, -0.03643049785804209, 3.3014423425382304, 3.9682539682539684, 4.915828383744746]                              | F(X)=  4.309577 | f_count = 10000
Function: 3 | Xmin: [-0.12493181202626147, 1.7175739958724776, -0.0013351491361603962, 4.043785262242359, 4.661768576692872]                           | F(X)= 10.469566 | f_count = 10000
Function: 3 | Xmin: [-0.2508173020069222, -0.011253399861907099, 2.7078731837203307, -0.005912803317272619, 4.964656695009971]                         | F(X)= 21.743609 | f_count = 10000
Function: 3 | Xmin: [1.1743590330468479, 1.9678190911067617, 3.086292596025828, -0.0013351491361603962, 4.760188141586838]                             | F(X)= 16.107076 | f_count = 10000
Function: 3 | Xmin: [1.0568659090648964, -0.060081711127132564, 3.3022052849017456, 3.8484720171814573, -0.028038131859332793]                         | F(X)= 29.642627 | f_count = 10000
Float representation
Function: 6 | Xmin: [-1.5515701624534657, -2.7485666482607916]                                                                                         | F(X)=  0.010026 | f_count = 10000
Function: 6 | Xmin: [2.4312737651131116, 2.0372033864519534]                                                                                           | F(X)=  0.010815 | f_count = 10000
Function: 6 | Xmin: [-2.319684360299031, -2.146512739626933]                                                                                           | F(X)=  0.010189 | f_count = 10000
