Max iterations: 100
Function: 6 | Xmin: [-2.580143251487378, 0.03378392876813052, -1.7781981364241304, 0.11560922413311658]                                                | F(X)=  0.009723 | f_count = 10000
Function: 6 | Xmin: [-8.806025261632449, -0.22924107493129497, -2.399211234938072, 0.8691322939859365]                                                 | F(X)=  0.128139 | f_count = 10000
Function: 6 | Xmin: [-2.9658093289419796, -0.9202723122941592, 0.44434091774984097, -0.851703096248194]                                                | F(X)=  0.021969 | f_count = 10000
Function: 6 | Xmin: [-5.012210821116509, -4.550236459040875, 3.7906206362839256, 5.7830872419893]                                                      | F(X)=  0.133932 | f_count = 10000
Function: 6 | Xmin: [-2.263618594941427, -1.4281994954106736, 4.004218103512812, 4.0190954299428086]                                                   | F(X)=  0.037240 | f_count = 10000
Function: 6 | Xmin: [2.8344180275884376, -0.31546385174683245, 8.836048829169108, -1.8827545930565]                                                    | F(X)=  0.080997 | f_count = 10000
Function: 6 | Xmin: [1.9853839804573, -1.4596707628587566, 0.20029554381157766, -2.101684618799503]                                                    | F(X)=  0.020786 | f_count = 10000
Function: 6 | Xmin: [0.7521330538962978, 3.6395355043860036, 10.79241388026578, 4.975810721209049]                                                     | F(X)=  0.135024 | f_count = 10000
Function: 6 | Xmin: [-1.3283497468708703, 0.28250230908503937, -2.40657444313738, 1.5061624079525018]                                                  | F(X)=  0.009789 | f_count = 10000
Function: 6 | Xmin: [-3.961412200628942, 4.771008360547661, 6.243028163864542, -8.781217286061786]                                                     | F(X)=  0.138474 | f_count = 10000
Function: 6 | Xmin: [2.801252747179383, 0.23500930548158294, -1.2362247639774182, -0.6165268976816662]                                                 | F(X)=  0.009755 | f_count = 10000
Function: 6 | Xmin: [-4.184937322326506, -4.469328896176666, 0.9086655137576933, -0.03630227144145004]                                                 | F(X)=  0.044259 | f_count = 10000
Function: 6 | Xmin: [1.0113005692007917, 3.2971636281793764, 3.492857691220138, 3.911520915756661]                                                     | F(X)=  0.037224 | f_count = 10000
Function: 6 | Xmin: [-9.309215803114068, -5.766821545669131, 10.247048793819896, 4.780499548736952]                                                    | F(X)=  0.179549 | f_count = 10000
Function: 6 | Xmin: [0.06229880442562319, 0.14126307547716266, 6.253555418756207, 0.2688647598575429]                                                  | F(X)=  0.037459 | f_count = 10000
Function: 6 | Xmin: [-3.8616658699384665, -3.836612833414989, -0.2623485800477354, -2.8755875621588283]                                                | F(X)=  0.049483 | f_count = 10000
Function: 6 | Xmin: [0.6944898102234873, 0.871682582703869, 2.4065267593988224, -1.7048605465224043]                                                   | F(X)=  0.009917 | f_count = 10000
Max iterations: 100000
Function: 6 | Xmin: [-1.1171278033973664, 5.929909270147927, 0.8905547709469825, -1.94017773547663]                                                    | F(X)=  0.051271 | f_count = 100000
Function: 6 | Xmin: [-1.7859229020704745, 0.8660559015540628, 1.6582735339515366, 1.7775782478228734]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [6.215787401722933, -0.666102410768035, 0.8338886550238707, -1.0186291571789612]                                                   | F(X)=  0.048640 | f_count = 100000
Function: 6 | Xmin: [-0.06415847022937271, 0.9623770534405978, -1.7215498550175923, 2.4401914788205517]                                                | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-0.11191761801681817, 0.48004201097008803, 5.853303544650073, 2.1059444453663483]                                                 | F(X)=  0.038494 | f_count = 100000
Function: 6 | Xmin: [-0.3806831267753239, -0.563025743019935, 1.3261086111586593, 2.7621520815620855]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [0.27436019502420816, 3.270920729924236, -4.630569301364778, 2.5673407562285973]                                                   | F(X)=  0.039321 | f_count = 100000
Function: 6 | Xmin: [-1.4178044404050993, 1.398492526289239, -0.39708633283916583, 2.392889210171326]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [0.8583426422696392, 1.8886016217894284, 2.332466658762857, 1.147062725069766]                                                     | F(X)=  0.043634 | f_count = 100000
Function: 6 | Xmin: [0.7072690521569456, 0.9316687258094447, -2.9003872396408283, 0.2679110850863822]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-1.6101482413017454, -1.5375533920253461, 2.8972496251213533, 5.019284151214492]                                                  | F(X)=  0.041604 | f_count = 100000
Function: 6 | Xmin: [0.8426908696607924, 0.6864789421457971, -2.6119006213668, 1.358819655809242]                                                      | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [2.789728395905234, 3.370687885999523, 4.38424357965837, 1.3179892110011582]                                                       | F(X)=  0.040076 | f_count = 100000
Function: 6 | Xmin: [2.082563439637873, -2.3346673653923844, -0.1726866591866738, 0.1878024043094655]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-1.6577317527423778, -0.133045687756689, 2.7345781856507076, -0.1489635900332028]                                                 | F(X)=  0.013926 | f_count = 100000
Function: 6 | Xmin: [2.924276792658233, 1.0265593655392493, 0.493550535941381, 0.025677693213324915]                                                   | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-0.2840684376017588, -0.266022222803457, 2.266561480329223, -1.9907994085796947]                                                  | F(X)=  0.018886 | f_count = 100000
Function: 6 | Xmin: [0.5354168583950312, 2.1718273982178644, -2.1928559269218084, 0.19199857330254133]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-2.2041315779003696, -0.6722525273007358, -1.6267420133972266, -1.3885184518426303]                                               | F(X)=  0.009745 | f_count = 100000
Function: 6 | Xmin: [0.25722992764946184, 2.49559998302459, 1.8771418939313307, -0.1801253224016719]                                                   | F(X)=  0.009716 | f_count = 100000
Best max iterations 100000
Population: 30
Function: 6 | Xmin: [-4.6071047171396415, 0.5823014263944781, -4.058454199276005, 1.012201254402589]                                                   | F(X)=  0.037917 | f_count = 100000
Function: 6 | Xmin: [-1.839233321777975, 2.0940075368917164, -1.417709072927984, -0.26681435909956264]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [5.112503351538062, -2.558006783486505, -2.130646671288899, 1.789047371729291]                                                     | F(X)=  0.043228 | f_count = 100000
Function: 6 | Xmin: [-0.17735966556532645, 2.9370560345916914, -0.004363062078027724, 1.0919814548403934]                                              | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [1.3765201590150973, 2.233770270543215, 0.8623360540386784, 5.63881040189624]                                                      | F(X)=  0.037227 | f_count = 100000
Function: 6 | Xmin: [1.6852625299751978, 1.358819655809242, -0.7301095629260814, -2.1524201166248886]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-1.6902166024038001, -3.465766824524845, -3.946019595141206, -2.981951582163117]                                                  | F(X)=  0.037254 | f_count = 100000
